SourceFile,FileName,FileSize,CreateDate,ModifyDate,Duration,ImageWidth,ImageHeight,VideoFrameRate,GPSLatitude,GPSLongitude
D:/个人记录/obsidian-file/米多科技/客户资料交接-海燕/高露洁/A高露洁/图片素材库/【华美华美 粽子礼盒幸福味道1260g】华美 粽子礼盒端午节礼品蛋黄鲜肉粽 10只嘉兴粽子4枚咸鸭蛋送礼1400g【行情 报价 价/视频-52e3e42a4b9e44939902ec8158ebbdd4.mp4,视频-52e3e42a4b9e44939902ec8158ebbdd4.mp4,15 MB,0000:00:00 00:00:00,0000:00:00 00:00:00,0:00:39,720,960,25,,
D:/个人记录/obsidian-file/米多科技/客户资料交接-海燕/高露洁/A高露洁/图片素材库/【广州酒家利口福广州酒家 情有独粽粽子礼盒1476g】广州酒家利口福 情有独粽粽子礼盒1740g 竹篮款 粽子礼盒 5味10粽咸鸭/视频-7842c84f5ce74cadbd02ecb9e89a5806.mp4,视频-7842c84f5ce74cadbd02ecb9e89a5806.mp4,10 MB,0000:00:00 00:00:00,0000:00:00 00:00:00,27.12 s,1280,720,25,,
D:/个人记录/obsidian-file/米多科技/客户资料交接-海燕/高露洁/A高露洁/图片素材库/【悠享时双层端午集锦礼】悠享时（YOTIME）端午粽子礼盒1152g 蛋黄鲜肉粽水晶粽甜粽咸鸭蛋糕点组合送礼佳品【行情 报价 价格 评测】-京东/视频-3eccddf6a18541abaab86cc1c0e12891.mp4,视频-3eccddf6a18541abaab86cc1c0e12891.mp4,9.5 MB,0000:00:00 00:00:00,0000:00:00 00:00:00,24.32 s,720,720,25,,
D:/个人记录/VID_20240905_141626.mp4,VID_20240905_141626.mp4,2.4 GB,2024:09:05 06:32:08,2024:09:05 06:32:08,0:15:41,1920,1080,60.043,"26 deg 53' 2.76"" N","112 deg 32' 14.64"" E"
D:/个人记录/VID_20241005_113520.mp4,VID_20241005_113520.mp4,3.0 GB,2024:10:05 03:54:40,2024:10:05 03:54:40,0:19:19,1920,1080,60.052,"26 deg 53' 2.76"" N","112 deg 32' 15.00"" E"
D:/个人记录/VID_20241007_114751.mp4,VID_20241007_114751.mp4,2.4 GB,2024:10:07 04:03:32,2024:10:07 04:03:32,0:15:40,1920,1080,60.048,,
D:/个人记录/VID_20241010_114525.mp4,VID_20241010_114525.mp4,3.2 GB,2024:10:10 04:02:21,2024:10:10 04:02:21,0:16:55,1920,1080,60.061,"26 deg 53' 2.76"" N","112 deg 32' 15.00"" E"
D:/个人记录/VID_20241012_104731.mp4,VID_20241012_104731.mp4,3.0 GB,2024:10:12 03:07:17,2024:10:12 03:07:17,0:19:46,1920,1080,60.061,"26 deg 53' 2.76"" N","112 deg 32' 15.00"" E"
D:/个人记录/VID_20241024_113644.mp4,VID_20241024_113644.mp4,2.6 GB,2024:10:24 03:43:18,2024:10:24 03:43:18,0:06:33,3840,2160,60.021,"26 deg 53' 31.92"" N","112 deg 32' 0.60"" E"
D:/个人记录/VID_20250601_194155.mp4,VID_20250601_194155.mp4,3.2 GB,2025:06:01 11:48:44,2025:06:01 11:48:44,0:06:48,3840,2160,59.969,"22 deg 55' 34.32"" N","113 deg 16' 53.76"" E"
D:/个人记录/VID_20250926_202555.mp4,VID_20250926_202555.mp4,3.4 GB,2025:09:26 12:47:56,2025:09:26 12:47:56,0:22:01,1920,1080,30.024,"22 deg 37' 29.64"" N","114 deg 6' 34.20"" E"
